Name,Address,Country,Publication Title,Publication Number,Year,Match,Type organization
Univ Vale Rio dos Sinos,BR-93022000 Sao Leopoldo  RS  Brazil,Brazil,An empirically based system for processing definite descriptions,168871500003,2000,Universidade do Vale do Rio Dos Sinos,Academic
Univ Estadual Campinas,Inst Comp  BR-13083970 Campinas  SP  Brazil,Brazil,A 3D generalization of user-steered live-wire segmentation,167100800006,2000,Universidade Estadual de Campinas,Academic
Univ Estadual Campinas,Fac Engn Elect & Comp  BR-13083970 Campinas  SP     Brazil,Brazil,"Tabu search for scheduling on identical parallel machines to minimize
   mean tardiness",90050100002,2000,Universidade Estadual de Campinas,Academic
Univ Estadual Campinas,IC  BR-13081970 Campinas  SP  Brazil,Brazil,Multiversion views: Constructing views in a multiversion database,87088400004,2000,Universidade Estadual de Campinas,Academic
Univ Estadual Campinas,Inst Math Stat & Sci Computat  BR-13081970    Campinas  SP  Brazil,Brazil,Observations on morphological associative memories and the kernel method,86007800012,2000,Universidade Estadual de Campinas,Academic
Univ Estadual Campinas,Inst Estudos Linguagem  LAFAPE  BR-13081970    Campinas  SP  Brazil,Brazil,"Linguistic relations encoding in a symbolic-connectionist hybrid natural
   language processor",174952800027,2000,Universidade Estadual de Campinas,Academic
USP,Cybernet Vis Res Grp  IFSC  BR-13560970 Sao Carlos  SP  Brazil,Brazil,"Robust skeletonization through exact Euclidean distance transform and
   its application to neuromorphometry",166244800001,2000,Universidade de São Paulo,Academic
USP,IFSCI  Cybernet Vis Res Grp  BR-13560970 Sao Carlos  SP  Brazil,Brazil,"Straight line detection as an optimization problem: An approach
   motivated by the jumping spider visual system",166852800004,2000,Universidade de São Paulo,Academic
Pontificia Univ Catolica Rio de Janeiro,Dept Elect Engn  Rio De    Janeiro  Brazil,Brazil,A hybrid linear-neural model for time series forecasting,165265900018,2000,Pontifícia Universidade Católica do Rio de Janeiro,Academic
Pontificia Univ Catolica Rio de Janeiro,Rio De Janeiro  Brazil,Brazil,Probabilistic satisfiability with imprecise probabilities,86923900004,2000,Pontifícia Universidade Católica do Rio de Janeiro,Academic
